year,食料（酒類を除く）及びエネルギーを除く総合
1970/01,31.3
1970/02,31.4
1970/03,31.5
1970/04,31.8
1970/05,32
1970/06,32.1
1970/07,32.2
1970/08,32.2
1970/09,32.5
1970/10,32.9
1970/11,33.1
1970/12,33.3
1971/01,33.3
1971/02,33.4
1971/03,33.5
1971/04,34.1
1971/05,34.4
1971/06,34.6
1971/07,34.6
1971/08,34.4
1971/09,34.8
1971/10,34.9
1971/11,35
1971/12,35.1
1972/01,35.1
1972/02,35.3
1972/03,35.4
1972/04,35.9
1972/05,36.1
1972/06,36.3
1972/07,36.6
1972/08,36.4
1972/09,36.7
1972/10,37
1972/11,37.1
1972/12,37.3
1973/01,37.6
1973/02,37.7
1973/03,38.2
1973/04,39
1973/05,39.7
1973/06,40.2
1973/07,40.7
1973/08,40.8
1973/09,41.5
1973/10,41.9
1973/11,42.4
1973/12,43.3
1974/01,44.3
1974/02,45.4
1974/03,45.8
1974/04,46.7
1974/05,47.5
1974/06,47.9
1974/07,48.8
1974/08,48.7
1974/09,49.2
1974/10,50.3
1974/11,50.6
1974/12,50.8
1975/01,51.2
1975/02,51.2
1975/03,51.3
1975/04,52.8
1975/05,53.2
1975/06,53.5
1975/07,53.6
1975/08,53.3
1975/09,54
1975/10,54.4
1975/11,54.6
1975/12,54.9
1976/01,55.7
1976/02,55.9
1976/03,56.2
1976/04,57.6
1976/05,58.2
1976/06,58.7
1976/07,58.8
1976/08,58.5
1976/09,59.4
1976/10,59.9
1976/11,60.4
1976/12,61.5
1977/01,61.5
1977/02,61.4
1977/03,61.7
1977/04,63.1
1977/05,64
1977/06,64.1
1977/07,64.2
1977/08,63.9
1977/09,64.5
1977/10,64.9
1977/11,65
1977/12,65.1
1978/01,65
1978/02,65.2
1978/03,65.6
1978/04,66.5
1978/05,67.4
1978/06,67.4
1978/07,67.6
1978/08,67
1978/09,67.9
1978/10,68.3
1978/11,68.4
1978/12,68.7
1979/01,68.4
1979/02,68.3
1979/03,68.7
1979/04,69.3
1979/05,70.1
1979/06,70.3
1979/07,70.4
1979/08,69.8
1979/09,70.7
1979/10,71.3
1979/11,71.5
1979/12,71.6
1980/01,72.1
1980/02,71.9
1980/03,72.3
1980/04,73.4
1980/05,74.7
1980/06,75.3
1980/07,75.4
1980/08,74.6
1980/09,75.8
1980/10,76.3
1980/11,76.5
1980/12,76.6
1981/01,76.4
1981/02,76.1
1981/03,76.4
1981/04,77.2
1981/05,78.2
1981/06,78.5
1981/07,78.3
1981/08,77.6
1981/09,79
1981/10,79.4
1981/11,79.5
1981/12,79.6
1982/01,79.2
1982/02,78.9
1982/03,79.1
1982/04,79.8
1982/05,80.7
1982/06,80.9
1982/07,80.6
1982/08,80
1982/09,81.3
1982/10,81.7
1982/11,81.7
1982/12,81.8
1983/01,81.3
1983/02,80.8
1983/03,81
1983/04,81.8
1983/05,82.8
1983/06,82.9
1983/07,82.6
1983/08,81.6
